0	0000000
1	0000001
2	0000010
3	0000011
4	0000100
5	0000101
6	0000110
7	0000111
8	0001000
9	0001001
А	0001010
Б	0001011
В	0001100
Г	0001101
Ä	0001110
Å	0001111
¨	0010000
Æ	0010001
Ç	0010010
È	0010011
É	0010100
Ê	0010101
Ë	0010110
Ì	0010111
Í	0011000
Î	0011001
Ï	0011010
Ð	0011011
Ñ	0011100
Ò	0011101
Ó	0011110
Ô	0011111
Õ	0100000
Ö	0100001
×	0100010
Ø	0100011
Ù	0100100
Ü	0100101
Û	0100110
Ú	0100111
Ý	0101000
Þ	0101001
ß	0101010
à	0101011
á	0101100
â	0101101
ã	0101110
ä	0101111
å	0110000
¸	0110001
æ	0110010
ç	0110011
è	0110100
é	0110101
ê	0110110
ë	0110111
ì	0111000
í	0111001
î	0111010
ï	0111011
ð	0111100
ñ	0111101
ò	0111110
ó	0111111
ô	1000000
õ	1000001
ö	1000010
÷	1000011
ø	1000100
ù	1000101
ü	1000110
û	1000111
ú	1001000
ý	1001001
þ	1001010
ÿ	1001011
.	1001100
,	1001101
!	1001110
:	1001111
?	1010000
-	1010001
_	1010010
¹	1010011
(	1010100
)	1010101
 	1010110
